action1,action2,action3,action4,action5,action6,action7,action8
-6.706539392471313477e-01,-6.787611246109008789e-01,-4.637618362903594971e-01,-7.312057018280029297e-01,-6.036500260233879089e-02,-2.891953885555267334e-01,1.852320283651351929e-01,2.943817973136901855e-01
9.252946972846984863e-01,-6.319326907396316528e-02,-2.279294133186340332e-01,-8.057521581649780273e-01,-9.540579915046691895e-01,7.124864459037780762e-01,7.428290247917175293e-01,5.516617298126220703e-01
-6.993585824966430664e-01,-5.132840275764465332e-01,3.459430336952209473e-01,-2.707211375236511230e-01,8.337472677230834961e-01,-1.642600744962692261e-01,4.465974867343902588e-01,3.087654113769531250e-01
7.004902362823486328e-01,-2.065801471471786499e-01,-4.245007932186126709e-01,-5.482686758041381836e-01,-7.085812687873840332e-01,6.655296087265014648e-01,2.637034058570861816e-01,5.322295427322387695e-01
-4.460534751415252686e-01,-3.316209912300109863e-01,1.409240365028381348e-01,-5.722064971923828125e-01,5.330116152763366699e-01,1.267552524805068970e-01,3.611535429954528809e-01,1.981591433286666870e-01
4.017237946391105652e-02,-1.887125708162784576e-02,2.027698904275894165e-01,-5.546104907989501953e-01,-2.841195762157440186e-01,3.445135056972503662e-01,2.486424148082733154e-01,4.884591698646545410e-01
5.856007337570190430e-01,-1.831912398338317871e-01,-1.575952917337417603e-01,-6.311540603637695312e-01,-4.694692492485046387e-01,4.796661138534545898e-01,5.804515480995178223e-01,5.210490226745605469e-01
3.516435027122497559e-01,-1.674395054578781128e-01,1.890470236539840698e-01,-6.350402832031250000e-01,-3.373174965381622314e-01,3.585332930088043213e-01,6.549353599548339844e-01,5.174832344055175781e-01
-8.259906619787216187e-02,-2.277148216962814331e-01,1.082198694348335266e-01,-6.877080798149108887e-01,2.640833854675292969e-01,2.544716596603393555e-01,6.895437240600585938e-01,5.618077516555786133e-01
-8.488292694091796875e-01,2.160424143075942993e-01,-7.683859020471572876e-02,-8.026006221771240234e-01,7.169377803802490234e-01,6.295652687549591064e-02,6.857811212539672852e-01,5.036852359771728516e-01
-9.881660938262939453e-01,1.761225983500480652e-03,-4.048000872135162354e-01,-8.874369263648986816e-01,9.045006036758422852e-01,5.926651507616043091e-02,2.632045745849609375e-01,3.438265323638916016e-01
-8.740779161453247070e-01,-7.450040578842163086e-01,-2.416079491376876831e-01,-7.601246833801269531e-01,2.234722226858139038e-01,-2.315340191125869751e-01,9.818029589951038361e-03,9.966856986284255981e-02
8.435987830162048340e-01,-4.953014850616455078e-02,-1.908654719591140747e-01,-7.824728488922119141e-01,-8.834168910980224609e-01,6.562528610229492188e-01,5.028125047683715820e-01,3.829621970653533936e-01
-3.874994814395904541e-01,-3.882105946540832520e-01,5.679463148117065430e-01,-1.302317082881927490e-01,4.582163989543914795e-01,-1.309579461812973022e-01,2.050687819719314575e-01,2.372644692659378052e-01
2.322587650269269943e-03,-4.211246222257614136e-02,7.671781629323959351e-02,-4.898490607738494873e-01,-6.035555899143218994e-02,3.821581006050109863e-01,1.227328404784202576e-01,4.482400715351104736e-01
-1.331006139516830444e-01,1.146360207349061966e-02,1.604685187339782715e-01,-5.071674585342407227e-01,1.608126610517501831e-01,2.168000042438507080e-01,1.010727211833000183e-01,4.475002288818359375e-01
-3.768886625766754150e-02,1.300923153758049011e-02,1.132336631417274475e-01,-5.502880811691284180e-01,2.185184061527252197e-01,3.238150775432586670e-01,1.451818197965621948e-01,4.934919178485870361e-01
