LF_sup,LM_sup,LH_sup,RF_sup,RM_sup,RH_sup,LF_CTr,LM_CTr,LH_CTr,RF_CTr,RM_CTr,RH_CTr,LF_ThC,LM_ThC,LH_ThC,RF_ThC,RM_ThC,RH_ThC,LF_FTi,LM_FTi,LH_FTi,RF_FTi,RM_FTi,RH_FTi
22.817691,25.512435,-20.920257,9.576955,-24.477834,-5.088925,30.682601,-0.797226,40.867807,29.634828,22.784594,47.634636,72.150430,37.649666,-53.918172,46.098357,-25.343524,-18.587847,57.678373,135.952732,58.415904,72.332160,67.690635,41.469793
22.469544,26.610142,-21.549866,9.790190,-24.714757,-5.037788,30.456207,-13.038636,40.150460,30.194600,22.367869,46.961024,69.664951,40.511003,-54.521323,47.321380,-26.124173,-18.960064,57.209504,135.920019,59.930669,70.750395,67.910120,41.374137
21.986196,27.365672,-21.780526,10.366871,-25.379303,-5.397001,31.163821,-15.380497,39.253663,31.048851,22.349040,46.482744,68.349404,42.085263,-54.959134,47.426512,-27.758487,-19.975402,56.367772,132.739557,62.185061,68.734038,67.623502,41.375423
21.529422,28.131066,-22.101233,10.421547,-25.871032,-6.233436,31.604497,-14.042420,37.833967,32.082711,22.023889,45.892525,65.982295,42.797184,-55.338920,48.075763,-29.627109,-21.624141,55.115012,128.089176,64.850280,66.501006,68.266259,41.660763
20.381501,28.645593,-21.943216,10.914126,-26.769967,-8.348536,31.923843,-7.995394,36.259936,32.214456,20.957749,44.296532,62.951053,40.089896,-55.801073,49.007346,-31.554251,-23.852406,54.199766,123.215960,68.254128,64.128940,68.902005,41.829239
19.374839,28.451661,-21.801520,11.576714,-26.704116,-9.351368,31.080740,3.061999,33.107353,32.146144,19.782882,42.382291,59.069960,38.088593,-55.602221,50.385141,-33.732305,-25.706020,54.325517,113.883962,72.395289,62.181070,69.539677,42.287302
19.412897,29.373360,-21.496622,11.582477,-26.931257,-10.586989,29.964049,2.283254,30.926585,32.457893,18.937759,41.553892,56.829193,38.465883,-54.648792,50.539638,-36.459793,-28.279873,54.714921,103.476214,75.514716,60.743714,70.262509,42.179136
18.296322,28.036377,-19.807788,12.971370,-28.328452,-13.017671,31.180262,2.572125,30.213073,32.151283,18.470414,39.512968,55.517785,38.808233,-54.145626,50.544156,-38.409055,-30.033762,54.489337,101.746604,78.585980,59.299365,69.775708,41.971177
19.266230,28.624129,-20.401290,11.534735,-27.486791,-12.582192,30.478043,2.146020,29.591434,32.102199,18.603036,38.888508,54.833498,38.654093,-54.274628,49.702154,-39.143693,-31.020523,53.578365,100.077092,79.249958,58.936897,71.865693,43.358570
18.783267,28.604302,-21.160099,11.013676,-25.493238,-12.766034,31.224737,3.562898,30.322916,31.215394,19.252619,38.054658,54.586125,38.392555,-56.155480,48.241143,-35.673851,-31.225283,51.615316,96.131967,79.550392,58.385073,74.785884,45.623517
18.034484,28.040281,-22.940047,9.419432,-22.912395,-12.092520,30.220201,4.152226,30.773995,29.116525,22.600152,37.020629,50.675086,37.055972,-59.191274,48.938347,-30.083111,-31.453721,49.467727,90.562258,80.392069,58.061797,81.808003,49.019342
17.139950,27.288348,-23.998191,8.560953,-17.029181,-11.664459,29.851195,5.155420,30.913663,27.110046,26.711435,36.297349,47.346975,36.007083,-61.695519,49.596847,-18.306207,-31.835206,47.947796,86.624409,81.394756,57.735730,99.415855,51.460582
16.983405,26.562043,-24.668539,8.643683,-12.022931,-11.615575,30.487124,5.571150,30.473117,27.092269,29.115626,36.412872,44.866688,34.015115,-62.751472,49.705309,-0.937432,-33.492598,47.357354,84.412799,83.322279,56.461339,125.322542,52.728434
16.507993,25.376502,-24.417588,7.584818,-8.900928,-13.198566,32.761677,5.024497,29.129732,26.345151,27.008963,37.906449,43.404056,31.159896,-62.419893,49.012292,17.718998,-37.011430,48.782070,83.017616,87.160533,54.292391,146.612710,52.731428
16.354346,24.351771,-22.496790,6.228298,-8.169772,-16.566079,41.446514,4.730233,27.036258,27.343338,17.431067,40.007273,44.766877,29.256064,-60.615008,46.643246,31.104240,-42.460875,65.877259,80.944448,92.634652,51.357911,158.615460,52.590355
16.497755,23.411741,-21.159048,5.364985,-3.895259,-19.380255,48.026019,5.438215,25.118512,29.119808,3.790242,41.772528,48.708562,28.024105,-59.467915,45.715098,41.775416,-47.233403,84.672298,78.463305,97.701664,48.574139,159.026314,52.953867
16.170207,22.692397,-21.355853,4.819351,0.106985,-20.157357,51.603762,5.622279,23.865021,29.844100,-4.060607,42.832298,57.340607,26.918416,-59.700543,41.789645,45.617002,-49.556293,109.241895,76.133538,100.626448,46.843190,156.835033,54.162623
16.472547,21.842038,-22.167080,4.349452,3.913432,-19.964840,53.980595,5.825336,23.857954,29.942604,-4.419579,43.269879,64.512729,25.619050,-61.410267,41.929214,47.515095,-49.921074,134.458353,72.957996,102.274420,46.192155,152.212128,56.162756
17.754167,20.941010,-23.085096,3.870052,8.355015,-19.486161,49.487605,6.417061,22.577374,29.236850,-8.658764,43.072441,68.062847,24.579666,-63.486419,44.084015,49.660386,-49.900706,148.662408,69.337579,105.543625,46.024107,145.897776,58.589233
19.861144,20.248138,-23.996440,3.952027,10.193335,-19.108065,37.316484,6.685653,22.571868,30.365078,-7.212859,42.927330,70.825751,23.546420,-65.123100,41.414630,49.194330,-49.920271,154.485073,65.897982,106.828331,45.595763,138.840374,60.986836
19.550319,19.777883,-24.863816,3.182951,11.419996,-18.929337,18.914978,6.304288,21.946611,30.788014,1.076824,42.816333,71.453856,22.468582,-65.897475,37.197190,47.001182,-50.343573,155.284547,63.615972,108.480001,45.219311,132.064701,62.747206
20.664345,18.797338,-24.796780,3.180366,13.334554,-19.400280,2.284270,6.516220,21.576149,31.146451,3.936615,42.400163,69.514552,21.517863,-66.302847,38.892203,47.423472,-50.697387,151.338388,62.814599,110.013205,44.642799,119.688378,63.812719
21.581644,17.731774,-24.553677,3.658231,14.237135,-19.824749,-3.498475,6.624100,20.227495,31.097758,4.770893,42.127291,72.688821,20.153821,-66.480453,37.738978,47.713255,-51.189338,143.090442,62.807903,112.408711,43.638342,115.258475,64.318283
22.153296,16.988422,-24.132249,3.375313,15.305926,-20.406692,-2.223384,6.043059,18.040868,32.050691,8.786720,42.411368,74.071371,18.639962,-65.803018,37.561511,47.800526,-52.626028,137.480268,63.485657,115.516993,42.114025,109.057899,64.705118
22.484730,16.218183,-23.581070,3.110957,15.398146,-21.533583,-0.886757,6.216559,16.812524,32.893743,10.643032,43.065667,73.843953,17.526522,-65.219475,37.345487,47.771429,-54.368062,134.899639,63.594763,118.108660,40.800805,104.818123,64.833672
22.565649,15.612295,-23.514763,2.969815,15.479476,-21.814607,0.362688,6.741006,16.855521,32.302292,9.592768,42.944207,72.696076,16.801106,-65.513118,38.013890,47.539914,-54.845333,132.653719,63.162313,119.137462,40.410755,103.503255,65.360193
23.225329,15.045854,-24.062867,2.904634,14.480631,-21.209123,3.190548,6.373896,17.363160,31.863782,8.327680,42.910227,73.283683,15.745419,-66.892464,36.881103,47.349043,-54.079899,128.640418,61.818765,119.358866,41.104030,104.401740,66.619402
23.673267,14.327205,-24.780744,2.602687,13.280743,-20.483842,3.634883,6.143846,16.960965,31.765756,8.341778,42.345444,72.621994,14.063414,-68.429976,34.776257,46.753728,-53.531502,126.208171,59.680347,120.699838,41.458881,103.729194,68.712653
24.377725,13.143061,-25.442023,2.900819,12.013352,-20.052929,4.745326,6.854025,15.481078,34.449909,9.066653,41.508722,71.920602,11.591751,-69.376711,32.950243,45.994559,-53.797457,123.203376,56.773082,123.709296,41.854929,102.212431,71.071187
